model,feature,importance,feature_type
Random Forest,Morgan_bit_290,1.844881613065006e-05,Morgan fingerprint
Random Forest,Morgan_bit_291,0.0003258022515208919,Morgan fingerprint
Random Forest,Morgan_bit_292,0.00025182215578584534,Morgan fingerprint
Random Forest,Morgan_bit_293,0.0001330206264403318,Morgan fingerprint
Random Forest,Morgan_bit_294,0.002529853777584194,Morgan fingerprint
Random Forest,Morgan_bit_295,0.0005510310065077182,Morgan fingerprint
Random Forest,Morgan_bit_296,0.0001375347621987784,Morgan fingerprint
Random Forest,Morgan_bit_297,0.00018410285144288701,Morgan fingerprint
Random Forest,Morgan_bit_298,0.0005011518186071797,Morgan fingerprint
Random Forest,Morgan_bit_299,0.0002543253694244176,Morgan fingerprint
Random Forest,Morgan_bit_300,0.00013712954187896728,Morgan fingerprint
Random Forest,Morgan_bit_301,0.0007897647312444359,Morgan fingerprint
Random Forest,Morgan_bit_302,0.0002027120948142167,Morgan fingerprint
Random Forest,Morgan_bit_303,0.00021442891296863192,Morgan fingerprint
Random Forest,Morgan_bit_304,9.508698934307597e-05,Morgan fingerprint
Random Forest,Morgan_bit_305,0.0005231077287305015,Morgan fingerprint
Random Forest,Morgan_bit_306,0.00016872824693706486,Morgan fingerprint
Random Forest,Morgan_bit_307,0.000323977398984911,Morgan fingerprint
Random Forest,Morgan_bit_308,0.00017367490971924253,Morgan fingerprint
Random Forest,Morgan_bit_309,0.000503014557215231,Morgan fingerprint
Random Forest,Morgan_bit_310,0.001149938102860806,Morgan fingerprint
Random Forest,Morgan_bit_311,0.0009291034937831832,Morgan fingerprint
Random Forest,Morgan_bit_312,0.00019981399647317895,Morgan fingerprint
Random Forest,Morgan_bit_313,0.0006661581490609253,Morgan fingerprint
Random Forest,Morgan_bit_314,0.0063742875872844565,Morgan fingerprint
Random Forest,Morgan_bit_315,0.0005089456714911881,Morgan fingerprint
Random Forest,Morgan_bit_316,0.00010718276997459177,Morgan fingerprint
Random Forest,Morgan_bit_317,0.000519604214113746,Morgan fingerprint
Random Forest,Morgan_bit_318,0.0004230975179626898,Morgan fingerprint
